metric,metric_label,region,window,states,climate,n_winters,n_stations,r,r2,signed_r2,bh_r_mean,bh_r_sd,bh_r2_mean,bh_r2_sd,sig_2sigma,sig_2sigma_cal,p_perm,mean_nino,mean_nina,n_nino,n_nina,r2_phase,r2_index,r2_strength_gain,r2_within_nino,r2_within_nina,slope_within_nino,fdr_significant,n_tests
storm_days,Storm days per 30 (>= 2 in of new snow),Bighorn Mtns (Meadowlark),Holidays,WY,continental,48,13,-0.4439075892052628,0.19705394775402835,-0.19705394775402835,-0.44329340881414464,0.056923091199212225,0.1997492846097382,0.05046726227587445,True,True,0.0015996800639872025,-0.4703132708233385,0.21679690823749065,16,16,0.24412197798326318,0.19705394775402835,-0.047068030229234836,0.0027660805607882394,0.2021857175949868,-0.04718543912971122,True,944
days_with_base,Days per 30 with a skiable base,Jemez (Pajarito),Spring,NM,continental,46,6,0.4584699823237018,0.21019472469189543,0.21019472469189543,0.4599060853848475,0.06514336436541607,0.21575726529486,0.059919659388194546,True,True,0.0015996800639872025,0.5683708073977922,-0.2673609688097533,15,16,0.24106787397473894,0.21019472469189543,-0.030873149282843515,0.010591682201712912,0.02969483927045289,0.09935396329846925,True,944
mean_depth,Base (mean snow depth),Missoula ranges (Montana Snowbowl),Spring,MT,transitional,25,7,-0.6099921659987643,0.37209044257986396,-0.37209044257986396,-0.6104408582764917,0.04737510863757457,0.3748824423717619,0.057839403955326114,True,True,0.001799640071985603,-0.6531601686536463,0.6415594811206025,9,9,0.37160336897142465,0.37209044257986396,0.0004870736084393035,0.027621885895313263,0.05246917942940071,-0.17890044138869649,True,944
big_storm_days,Powder days per 30 (>= 6 in of new snow),Wind River Range,Spring,WY,continental,48,23,0.43605454052939474,0.19014356231630156,0.19014356231630156,0.43597855953159453,0.05841306781816026,0.1934893908631731,0.050933690330365704,True,True,0.001799640071985603,0.15743229607390996,-0.2789712279071882,16,16,0.17519161797392735,0.19014356231630156,0.014951944342374207,0.3895816586292377,0.003776314693949671,0.4130780417868665,True,944
mean_depth,Base (mean snow depth),Missoula ranges (Montana Snowbowl),Midwinter,MT,transitional,25,7,-0.5979350953444965,0.3575263782446321,-0.3575263782446321,-0.5971383929187185,0.05603739884697832,0.35971445036708516,0.06692416458165977,True,True,0.001799640071985603,-0.5827960156777766,0.636381883206675,9,9,0.3549368489435627,0.3575263782446321,0.0025895293010694265,0.10487454793222904,0.02404928587759725,-0.4432058150352817,True,944
mean_swe,Base (mean SWE in window),Whitefish & Flathead Range,Spring,MT,transitional,52,9,-0.4040836960551079,0.16328363341755683,-0.16328363341755683,-0.4052929925971536,0.04219269263052854,0.16604263315977066,0.03420080532391757,True,True,0.001999600079984003,-0.5471902160392778,0.3380461676925511,18,18,0.2173797916407907,0.16328363341755683,-0.05409615822323385,0.058167070571802676,0.11155686093463174,0.21762526507859134,True,944
new_snow_in_total,Total new snow in the window (in),Central Cascades (Stevens/Snoqualmie),Spring,WA,maritime,45,19,-0.45279734223958895,0.20502543313923544,-0.20502543313923544,-0.4526572681874316,0.042514820631941196,0.2067061124162745,0.03848928512946632,True,True,0.001999600079984003,-0.5075838345384595,0.36814300338758044,15,16,0.2005591401169261,0.20502543313923544,0.004466293022309331,0.003964651267456344,0.036800751607867006,-0.05678123129195021,True,944
mean_swe,Base (mean SWE in window),Madison & Gallatin (Big Sky),Spring,MT,continental,60,9,-0.38980027278173096,0.15194425266071188,-0.15194425266071188,-0.3902809904269729,0.047103985180289,0.1545380369085238,0.03676757997844129,True,True,0.001999600079984003,-0.4059548068739505,0.39130268463709894,20,22,0.1580827148279046,0.15194425266071188,-0.006138462167192715,0.0056757577653184805,0.018282930935520615,0.08153999445988212,True,944
storm_days,Storm days per 30 (>= 2 in of new snow),White Mtns AZ (Sunrise Park),Spring,AZ,continental,46,7,0.4173633693416557,0.1741921820682193,0.1741921820682193,0.41472942375414024,0.0756057062923994,0.17771671775141376,0.06271182200634316,True,True,0.0021995600879824036,0.3236034409926391,-0.3327680104907226,15,16,0.10416965306162063,0.1741921820682193,0.07002252900659867,0.19354520941702594,0.003564079313652436,0.7047025466229213,True,944
storm_days,Storm days per 30 (>= 2 in of new snow),Jemez (Pajarito),Early season,NM,continental,46,7,0.4496241470912122,0.20216187364750002,0.20216187364750002,0.44880592552061727,0.0675677547606579,0.20599216026581427,0.06064961742141433,True,True,0.0023995200959808036,0.4841307147265668,-0.2834918638767022,15,16,0.16345839859030709,0.20216187364750002,0.03870347505719293,0.34416481462352483,0.0011065062662749838,0.670045833948892,True,944
new_snow_in_total,Total new snow in the window (in),Park Range (Steamboat),Holidays,CO,continental,47,15,-0.4310010412419904,0.1857618975516799,-0.1857618975516799,-0.4330831822648419,0.05343696217778941,0.19041655168743274,0.04628529926104607,True,True,0.0027994401119776045,-0.5392161532720507,0.3896085349595418,16,16,0.1726819458794605,0.1857618975516799,0.013079951672219398,0.13297538429732614,0.007600510419601659,-0.35858016536616405,True,944
new_snow_in_total,Total new snow in the window (in),Snowy Range & Sierra Madre,Holidays,WY,continental,48,15,-0.41888375130949684,0.1754635971111164,-0.1754635971111164,-0.42044961319953444,0.049557263890053854,0.17923379964390657,0.041672664867600795,True,True,0.0027994401119776045,-0.4992284020427757,0.38501870682519734,16,16,0.17069093379380718,0.1754635971111164,0.004772663317309217,0.16033211451892135,6.959227267698006e-08,-0.41268326731104266,True,944
mean_swe,Base (mean SWE in window),Bitterroots (Lost Trail),Midwinter,MT+ID,transitional,59,12,-0.38402012700358507,0.1474714579438496,-0.1474714579438496,-0.38507345320311853,0.046475028640364395,0.150441492648897,0.035792599532517906,True,True,0.0027994401119776045,-0.33443512891810345,0.4718910636819716,20,22,0.1350894743580453,0.1474714579438496,0.012381983585804307,0.0002354740273832648,0.0879104470605062,-0.022816155890498308,True,944
mean_depth,Base (mean snow depth),Bitterroots (Lost Trail),Midwinter,MT+ID,transitional,25,11,-0.5593105299730231,0.31282826893870397,-0.31282826893870397,-0.5609697800997988,0.06711178776501503,0.319191086242233,0.07529536964928969,True,True,0.0027994401119776045,-0.5499097531406384,0.5338360329325292,9,9,0.3017116533169901,0.31282826893870397,0.011116615621713843,0.014160754006854499,0.34099749856452205,-0.16126816575173075,True,944
mean_swe,Base (mean SWE in window),Central Cascades (Stevens/Snoqualmie),Spring,WA,maritime,45,19,-0.43699737352690404,0.1909667044694125,-0.1909667044694125,-0.4384666413071316,0.047730537505181136,0.1945311997496903,0.0418564969353617,True,True,0.002999400119976005,-0.5121731150908678,0.3881189508554811,15,16,0.21012856310415629,0.1909667044694125,-0.01916185863474379,0.050636808933117235,0.21786374646826098,0.25021600025092966,True,944
