region,window,metric,metric_label,unit,n_winters,all_winters,n_nino,mean_nino,n_nina,mean_nina,n_neutral,mean_neutral,nino_minus_all,nina_minus_all,nino_minus_nina,pct_change_nino,pct_change_nina
Black Hills (Terry Peak),Holidays,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,26,0.11007541601000116,9,0.2744536316692237,10,0.03918781312370168,7,0.0,0.16437821565922256,-0.07088760288629947,0.23526581854552203,149.33235922931928,-64.39912330638734
Black Hills (Terry Peak),Holidays,storm_days_per_window,Storm days (>= 2 in of new snow),days,26,1.1265685558789706,9,1.2397684638326567,10,1.068266058409026,7,1.0643150991812962,0.11319990795368606,-0.05830249746994465,0.1715024054236307,10.048204111765333,-5.175228543855097
Black Hills (Terry Peak),Holidays,new_snow_in_total,Total new snow in the window,in,26,10.33533648950535,9,11.0698500626813,10,10.301405238075828,7,9.439435111749873,0.7345135731759509,-0.03393125142952158,0.7684448246054725,7.106818185569349,-0.32830330646685635
Black Hills (Terry Peak),Holidays,days_with_base_per_window,Days with a skiable base,days,26,0.0,9,0.0,10,0.0,7,0.0,0.0,0.0,0.0,,
Black Hills (Terry Peak),Holidays,mean_swe_in,Average base (snow water equivalent),in,26,2.3944095217505668,9,2.1977989021449575,10,2.769866109614389,7,2.1108280500094625,-0.19661061960560922,0.3754565878638223,-0.5720672074694315,-8.211236123963708,15.680550233918375
Black Hills (Terry Peak),Holidays,mean_depth_in,Average base (snow depth),in,23,11.29470726968571,8,10.493183771003412,9,12.070873954422485,6,11.199155240823602,-0.8015234986822968,0.7761666847367756,-1.5776901834190724,-7.096452165994031,6.871950429560567
Black Hills (Terry Peak),Midwinter,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,26,0.19148522855092853,9,0.15465312569300185,10,0.2881186102399088,7,0.10079310124114817,-0.03683210285792668,0.09663338168898028,-0.13346548454690696,-19.234957775414305,50.46518857890863
Black Hills (Terry Peak),Midwinter,storm_days_per_window,Storm days (>= 2 in of new snow),days,26,4.447039600454941,9,3.9280862060382242,10,5.607539407763432,7,3.456408525692873,-0.5189533944167168,1.160499807308491,-1.6794532017252077,-11.66963735523351,26.09600794177253
Black Hills (Terry Peak),Midwinter,new_snow_in_total,Total new snow in the window,in,26,30.680374918145226,9,28.892509470082643,10,35.770424829945775,7,25.70755919165349,-1.7878654480625826,5.090049911800548,-6.877915359863131,-5.827391134666967,16.59057272077256
Black Hills (Terry Peak),Midwinter,days_with_base_per_window,Days with a skiable base,days,26,0.0,9,0.0,10,0.0,7,0.0,0.0,0.0,0.0,,
