region,window,metric,phase,strength,n_winters,mean,all_winters,diff,pct_change
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,El Nino,weak,6,1.6238214589048867,1.5474853215473734,0.07633613735751332,4.932915116841477
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,La Nina,moderate,4,1.5187622721944574,1.5474853215473734,-0.02872304935291603,-1.8561112634137982
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,La Nina,strong,5,1.2534540191925205,1.5474853215473734,-0.29403130235485286,-19.000587486079855
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,La Nina,weak,7,1.8229491759617684,1.5474853215473734,0.275463854414395,17.80074102020891
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,Neutral,neutral,16,1.7739724680812659,1.5474853215473734,0.22648714653389246,14.635818729926413
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,El Nino,moderate,4,0.602257582690313,0.9693095001682203,-0.3670519174779072,-37.867359952028394
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,El Nino,strong,3,0.02761222302257253,0.9693095001682203,-0.9416972771456478,-97.1513512435625
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,El Nino,very strong,3,0.6979946249779111,0.9693095001682203,-0.27131487519030917,-27.99053090300089
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,El Nino,weak,6,0.5354231716313704,0.9693095001682203,-0.43388632853684983,-44.76241370393567
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,La Nina,moderate,4,0.43668741033783404,0.9693095001682203,-0.5326220898303862,-54.94860926648831
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,La Nina,strong,5,1.5487757618139633,0.9693095001682203,0.579466261645743,59.78134553980732
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,La Nina,weak,7,1.7222041094412555,0.9693095001682203,0.7528946092730352,77.67329311663333
Wasatch (Alta/Snowbird/Park City),Holidays,big_storm_days_per_window,Neutral,neutral,16,1.0739005554383567,0.9693095001682203,0.10459105527013646,10.790264126368827
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,El Nino,moderate,4,1.9634856967846603,2.468390165796569,-0.5049044690119084,-20.454807996246082
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,El Nino,strong,3,2.379997596386886,2.468390165796569,-0.08839256940968276,-3.5809804557845415
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,El Nino,very strong,3,2.6248261258682177,2.468390165796569,0.15643596007164895,6.337570220434169
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,El Nino,weak,6,2.9813429345915288,2.468390165796569,0.51295276879496,20.780862600359054
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,La Nina,moderate,4,2.6154379174341775,2.468390165796569,0.14704775163760875,5.957232923513747
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,La Nina,strong,5,3.334525136517155,2.468390165796569,0.8661349707205863,35.08906260939821
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,La Nina,weak,7,1.6282580778908897,2.468390165796569,-0.8401320879056791,-34.03562773612663
Wasatch (Alta/Snowbird/Park City),Midwinter,big_storm_days_per_window,Neutral,neutral,16,2.4496295312014658,2.468390165796569,-0.01876063459510302,-0.7600352187049334
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,El Nino,moderate,4,1.432634059170145,1.702156237564625,-0.2695221783944801,-15.834162131914596
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,El Nino,strong,3,1.6249469316639964,1.702156237564625,-0.07720930590062869,-4.535970564670173
